06 dealers	06-dealers
2maanden	2 maanden
2mei	2 mei
2meter	2 meter
2miljard	2 miljard
2miljoen	2 miljoen
2minuten	2 minuten
2ml	2 ml
2mm	2 mm
2ms	2 ms
2oudswerkzaamheden	
2-traps	
2weken	2 weken
300m2	300 m²
30-kilometergebied	30 kilometergebied
30-kilometergebieden	30 kilometergebieden
30-km-zone	30km-zone
30-km-zones	30km-zones
30m2	30 m²
35m2	35 m²
3cm	3 cm
3kg	3 kg
3km	3 km
3m2	3 m²
3m	3 m
3maanden	3 maanden
3miljoen	3 miljoen
3minuten	3 minuten
3mm	3 mm
3-traps	
3-weekse	drieweekse
3weken	3 weken
400m2	400 m²
40+ers	40+'ers
40m2	40 m²
45plussers	45-plussers;45+'ers
49km	49 km
4-cilinider	4-cilinder
4cm	4 cm
4-cylinder	4-cilinder
4GB	4 GB
4kg	4 kg
4km	4 km
4m2	4 m²
4m	4 m
4miljard	4 miljard
4miljoen	4 miljoen
4mm	4 mm
4uur	4 uur
5000m2	5000 m²
500m2	500 m²
500m3	500 m³
500meter	500 meter
50+-er	50+'er
50+er	50+'er
50+-ers	50+'ers
50+ers	50+'ers
50 km-zone	50km-zone
50m2	50 m²
50-meter	50 meter
50meter	50 meter
50-meterbad	50 meterbad
50plusser	50-plusser;50+'er
50plussers	50-plussers;50+'ers
55+-er	55+'er
55+-ers	55+'ers
55+ers	55+'ers
55plussers	55-plussers;55+'ers
€5,-biljet	€5-biljet
5cm	5 cm
5jarigen	5-jarigen
5kg	5 kg
5km	5 km
5m2	5 m²
5m3	5 m³
5m	5 m
5-meter	5 meter
5meter	5 meter
5mg	5 mg
5miljard	5 miljard
5miljoen	5 miljoen
5minuten	5 minuten
5ml	5 ml
5mm	5 mm
5-traps	
600m2	600 m²
60+-er	60+'er
60+-ers	60+'ers
60+ers	60+'ers
60m2	60 m²
65+-er	65+'er
65+er	65+'er
65+-ers	65+'ers
65+ers	65+'ers
65+ kaart	65+-kaart
65+ kaarten	65+-kaarten
65m2	65 m²
65’plusser	65-plusser;65+'er
65plusser	65-plusser;65+'er
65’plussers	65-plussers;65+'ers
65plussers	65-plussers;65+'ers
68de	68e;achtenzestigste;68ste
6-cilinider	6-cilinder
6cm	6 cm
6-cylinder	6-cilinder
6kg	6 kg
6km	6 km
6m3	6 m³
6m	6 m
6maanden	6 maanden
6mei	6 mei
6miljoen	6 miljoen
6mm	6 mm
6-traps	
70m2	70 m²
75+-er	75+'er
75+-ers	75+'ers
75+ers	75+'ers
75km	75 km
75m2	75 m²
75plussers	75-plussers;75+'ers
7-7-bereikbaarheid	7/7-bereikbaarheid
7cm	7 cm
7kg	7 kg
7km	7 km
7m	7 m
7maart	7 maart
7miljard	7 miljard
7mm	7 mm
7-traps	
80jarige	80-jarige
80km	80 km
80m2	80 m²
82km	82 km
85km	85 km
88km	88 km
8cm	8 cm
8kg	8 kg
8km	8 km
8m	8 m
8miljoen	8 miljoen
8mm	8 mm
90km	90 km
90m2	90 m²
95km	95 km
96kHz	96 kHz
9cm	9 cm
9km	9 km
9m	9 m
9mei	9 mei
9mm	9 mm
A1-lokaties	A1-locaties
A4's	A4
A4-tje	A4'tje
A4tje	A4'tje
A4-tjes	A4'tjes
A4tjes	A4'tjes
A5-je	A5'je
A5je	A5'je
A5-jes	A5'jes
A5jes	A5'jes
a`	à
Aaaaaaah	
aaf	Aaf
aaiert	
aanaardert	
aanbakkert	
aanbde	aan de
aanbelandert	
aanbellert	
aanbenert	
aanbestedert	
aanbetalert	
aanbevelert	
aanbiddert	
aanbiedert	
aanbijtert	
aanbik	aanblik
aanbindert	
aanblaffert	
aanblazert	
aanblijvert	
aanblikkert	
aanbonsen	aanbonzen
aanboordert	
aanbotsert	
aanbouwert	
aanbradert	
aanbrandert	
aanbrassert	
aanbreiert	
aanbrekert	
aanbrengert	
aandammert	
aandienert	
aandijkert	
aandikkert	
aandoert	
aandraaiert	
aandragert	
aandravert	
aandrentelert	
aandrijvert	
aandringert	
aandrukkert	
aanduidert	
aandurvert	
aanduwert	
aandweilert	
aaneenbindert	
aaneenflansert	
aaneengroeiert	
aaneenhangert	
aaneenhechtert	
aaneenklevert	
aaneenklinkert	
aaneenknopert	
aaneenkoekert	
aaneenkoppelert	
aaneenlijmert	
aaneennaaiert	
aaneenpassert	
aaneenrijgert	
aaneenschakelert	
aaneenschrijvert	
aaneensluitert	
aaneensmedert	
aaneenvoegert	
aaneenzettert	
aanfietsert	
aanflitsert	
aanfloepert	
aanfluitert	
aanfokkert	
aangaart	
aangapert	
aangebrandt	aangebrand
aangedraait	aangedraaid
aangeduidt	aangeduid
aangeduit	aangeduid
aangedurft	aangedurfd
aangegroeit	aangegroeid
aangehaalt	aangehaald
aangekaard	aangekaart
aangeklaagdt	aangeklaagd
aangeklaagt	aangeklaagd
aangekleedt	aangekleed
aangekondigt	aangekondigd
aangelandt	aangeland
aangeleerdt	aangeleerd
aangeleert	aangeleerd
aangelegdt	aangelegd
aangelegt	aangelegd
aangelevert	aangeleverd
aangelijnt	aangelijnd
aangemeldt	aangemeld
aangemelt	aangemeld
aangemoedigdt	aangemoedigd
aangemoedigt	aangemoedigd
aangepakd	aangepakt
aangepasd	aangepast
aangepland	aangeplant
aangerandt	aangerand
aangerekent	aangerekend
aangeschafd	aangeschaft
aangescherpd	aangescherpt
aangespeelt	aangespeeld
aangespert	
aangespoelt	aangespoeld
aangespoort	aangespoord
aangesteldt	aangesteld
aangestelt	aangesteld
aangestuurdt	aangestuurd
aangestuurt	aangestuurd
aangetekent	aangetekend
aangetoont	aangetoond
aangevert	
aangevoerdt	aangevoerd
aangevoert	aangevoerd
aangevraagdt	aangevraagd
aangevraagt	aangevraagd
aangevuldt	aangevuld
aangevult	aangevuld
aangewakkert	aangewakkerd
aangewendt	aangewend
aangewent	aangewend
aangezegt	aangezegd
aangieerdert	
aangietert	
aangloeiert	
aangluurdert	
aangolvert	
aangooiert	
aangordert	
aangravert	
aangrijnzert	
aangrijpert	
aangrimmert	
aangroeiert	
aanhakert	
aanhalert	
aanhangert	
aanharkert	
aanhebbert	
aanhechtert	
aanheffert	
aanhikkert	
aanhinkert	
aanhitsert	
aanhobbelert	
aanhollert	
aanhoordert	
aanhoudert	
aanhuppelert	
aanjagert	
aankaartert	
aankakkert	
aankalkert	
aankappert	
aankijkert	
aanklagert	
aanklampert	
aankledert	
aanklemmert	
aanklevert	
aanklikkert	
aanklinkert	
aanklooiert	
aankloppert	
aanklotsert	
aanknippert	
aanknoeiert	
aanknopert	
aankoekert	
aankoersert	
aankomert	
aankondigert	
aankopert	
aankoppelert	
aankrijgert	
aankruiert	
aankruisert	
aankun	aankan
aankunnert	
aankwekert	
aanlachert	
aanladert	
aanlandert	
aanlappert	
aanlassert	
aanleerdert	
aanleggert	
aanlengert	
aanleunert	
aanleveerdert	
aanlichtert	
aanliggert	
aanlijmert	
aanlijnert	
aanloeerdert	
aanloeiert	
aanloevert	
aanloggert	
aanlokkert	
aanlopert	
aanmakert	
aanmanert	
aanmarcheerdert	
aanmatigert	
aanmeerdert	
aanmeldert	
aanmengert	
aanmerkert	
aanmetert	
aanmoddeerdert	
aanmoedigert	
aanmoesten	aan moesten
aanmoet	aan moet
aanmoeten	aan moeten
aanmoetert	
aanmonsteerdert	
aanmuntert	
aannaaiert	
aannemert	
aanpakkert	
aanpappert	
aanpassert	
aanpersert	
aanpezert	
aanpikkert	
aanplakkert	
aanplantert	
aanplempert	
aanploegert	
aanpordert	
aanpotert	
aanpratert	
aanprekert	
aanprijzert	
aanprikkelert	
aanprikkert	
aanpuntert	
aanradert	
aanrakert	
aanrandert	
aanrazert	
aanreikert	
aanrekenert	
aanrennert	
aanrichtert	
aanrijdert	
aanrijdtijd	aanrijtijd
aanrijdtijden	aanrijtijden
aanrijgert	
aanrijpert	
aanroeerdert	
aanroeiert	
aanroepert	
aanrokert	
aanrollert	
aanrommelert	
aanruisert	
aanrukkert	
aanschaffert	
aanschakelert	
aanscharrelert	
aanschellert	
aanscherpert	
aanschietert	
aanschikkert	
aanschoffelert	
aanschoppert	
aanschouwert	
aanschrijdert	
aanschrijvert	
aanschroevert	
aanschuinert	
aanschuivert	
aanschurkert	
aansjokkert	
aansjordert	
aansjouwert	
aanslaart	
aanslenteerdert	
aanslepert	
aansleuurdert	
aanslibbert	
aanslijpert	
aansloffert	
aansluipert	
aansluitert	
aansmedert	
aansmeerdert	
aansmijtert	
aansnellert	
aansnijdert	
aansnoeerdert	
aansnordert	
aanspannert	
aanspelert	
aanspijkeerdert	
aanspoelert	
aanspoordert	
aansprekert	
aanspringert	
aanstaardert	
aanstampert	
aanstappert	
aanstekert	
aanstellert	
aansterkert	
aanstervert	
aanstevenert	
aanstichtert	
aanstiefelert	
aanstijvert	
aanstippert	
aanstokert	
aanstomert	
aanstormert	
aanstotert	
aanstouwert	
aanstralert	
aanstrepert	
aanstrijkert	
aanstromert	
aanstrompelert	
aanstuivert	
aanstuurdert	
aanstuwert	
aansukkelert	
aantaal	aantal
aan`t	aan 't;aan het
aantappert	
aantastert	
aantekenert	
aantellert	
aantijgert	
aantikkert	
aantimmeerdert	
aantonert	
aantrappert	
aantredert	
aantreffert	
aantrekkert	
aantrippelert	
aantuurdert	
aanvaardert	
aanvallert	
aanvals	aanvals-
aanvangert	
aanvattert	
aanvechtert	
aanvegert	
aanvettert	
aanvijlert	
aanvijzert	
aanvinkert	
aanvlammert	
aanvliegert	
aanvloeiert	
aanvoeerdert	
aanvoegert	
aanvoelert	
aanvoerdster	aanvoerster
aanvragert	
aanvretert	
aanvullert	
aanvuurdert	
aanwaaiert	
aanwaggelert	
aanwakkeerdert	
aanwandelert	
aanwassert	
aanwendert	
aanwennert	
aanwerkert	
aanwerpert	
aanwervert	
aanwijzert	
aanwinnert	
aanwippert	
aanwoekeerdert	
aanwrijvert	
aanzakkert	
aanzeggert	
aanzeilert	
aanzettert	
aanzeulert	
aanziert	
aanzittert	
aanzoekert	
aanzuigert	
aanzuiveerdert	
aanzwaaiert	
aanzwellert	
aanzwemmert	
aanzwengelert	
aanzwepert	
aanzwevert	
aardert	
aardrijke	aardrijken
aardrijker	
aardrijkste	
aarzelert	
aasdiere	aasdieren
abandonneerdert	
abberant	aberrant
abberrant	aberrant
abdiceerdert	
abdiqueerdert	
aberant	aberrant
aberatie	aberratie
aberaties	aberraties
abonneerdert	
aboriginals	Aboriginals
aborteerdert	
abseilert	
absenteerdert	
absolveerdert	
absorbeerdert	
abstraheerdert	
abusievelijke	abusieve
a-capella	a capella
accelereerdert	
accentueerdert	
accepteerdert	
accesoire	accessoire
accesoires	accessoires
accessiet	accessit
accessieten	accessits
acclimatiseerdert	
accoderen	accorderen
accommodeerdert	
accomodatie	accommodatie
accomodaties	accommodaties
accomodation	accommodatie
accomodeerde	accommodeerde
accomodeerden	accommodeerden
accomodeert	accommodeert
accomoderen	accommoderen
accompagneerdert	
accoord	akkoord
accoorden	akkoorden
accordeerdert	
account-manager	accountmanager
accrediteerdert	
accumuleerdert	
accupressuur	acupressuur
accupuncturist	acupuncturist
accupuncturisten	acupuncturisten
accupunctuur	acupunctuur
accutje	accuutje
accuut	acuut
acellerando	accelerando
acellereren	accelereren
acepteren	accepteren
achenebisj	achenebbisj
achenibbisj	achenebbisj
achteraangaan	achteraan gaan
achteraanzitten	achteraan zitten
achterafplaatsert	
achterblijvert	
achterdenkert	
achtergekomen	
achtergezet	achter gezet
achterhalert	
achterhoudert	
achterklappert	
achterkom	achter kom
achterkomen	achter komen
achterlappert	
achterlatert	
achterliggert	
achterloos	achterlijk
achterlopert	
achternadoert	
achternagaart	
achternalopert	
achternarijdert	
achternastuurdert	
achternazendert	
achternazettert	
achternazittert	
achteromkijkert	
achteromziert	
achterophinkert	
achteropkomert	
achteroplopert	
achteroprakert	
achteroverdrukkert	
achteroverkammert	
achteroverleunert	
achteroverliggert	
achteroverslaart	
achterovervallert	
achterstaart	
achterstellert	
achtert	
achteruitblikkert	
achteruitboeerdert	
achteruitdeinzert	
achteruitgaart	
achteruitkrabbelert	
achteruitlopert	
achteruitrijdert	
achteruitschuivert	
achteruitslaart	
achteruitvallert	
achteruitvliegert	
achteruitwijkert	
achteruitzettert	
achtervoegert	
achtervolgert	
achterwaardert	
achterwant	achterwand
achtien	achttien
achtiende	achttiende
achtienjarig	achttienjarig
achtienjarige	achttienjarige
achtienjarigen	achttienjarigen
achtneming	inachtneming
achttiend	achttiende
acht-uurjournaal	achtuurjournaal
acquireerdert	
acte de presence	acte de présence
acteerdert	
actievieten	activiteiten
actievoeerdert	
activeerdert	
actualiseerdert	
adapteerdert	
ade	de
adeerdert	
adelert	
ademert	
ademhalert	
aderlatert	
ADHD-er	ADHD'er
ADHDer	ADHD'er
ADHD-ers	ADHD'ers
a.d.h.v	a.d.h.v.
adjudantchef	adjudant-chef
adjudantchefs	adjudant-chefs
administreerdert	
admitteerdert	
adoniseerdert	
adopteerdert	
adoreerdert	
adrem	ad rem
adresseerdert	
adsorbeerdert	
adstrueerdert	
adverteerdert	
adviesbureau's	adviesbureaus
adviesburo	adviesbureau
adviseerdert	
aërobe	aerobe
aërodynamica	aerodynamica
aërodynamisch	aerodynamisch
aërodynamische	aerodynamische
aëroob	aeroob
aërosol	aerosol
afbakenert	
afbakkert	
afbedelert	
afbeeldert	
afbeitelert	
afbekkert	
afbellert	
afbenert	
afbestellert	
afbetalert	
afbettert	
afbeulert	
afbiddert	
afbiedert	
afbiezert	
afbijtert	
afbikkert	
afbindert	
afbladdeerdert	
afbladeerdert	
afblaffert	
afblazert	
afblijvert	
afblokkert	
afblottert	
afbluffert	
afblussert	
afboekert	
afboenert	
afbollert	
afbonkert	
afboordert	
afborstelert	
afbottelert	
afbouwert	
afbramert	
afbrandert	
afbreiert	
afbrekert	
afbrengert	
afbrokkelert	
afbuigert	
afcheckert	
afdalert	
afdalingske	afdalinkje
afdalingskes	afdalinkjes
afdammert	
afdankert	
afdansert	
afdeinzert	
afdekkert	
afdelert	
afdichtert	
afdienert	
afdievert	
afdingert	
afdoert	
afdokkert	
afdondeerdert	
afdoppert	
afdraaiert	
afdragert	
afdravert	
afdreggert	
afdreigert	
afdrentelert	
afdrijvert	
afdringert	
afdrinkert	
afdrogert	
afdroppelert	
afdruipert	
afdrukkert	
afdruppelert	
afdruppert	
afduikelert	
afduwert	
afdwalert	
afdweilert	
afdwingert	
afeisert	
afficheerdert	
affietsert	
affilieerdert	
affirmeerdert	
affluitert	
affodille	
affronteerdert	
afgaart	
afgebakent	afgebakend
afgebeeldt	afgebeeld
afgebeelt	afgebeeld
afgebeldt	afgebeld
afgebouwt	afgebouwd
afgebrandt	afgebrand
afgebrant	afgebrand
afgedraait	afgedraaid
afgedroogt	afgedroogd
afgehaalt	afgehaald
afgehad	af gehad
afgehandeldt	afgehandeld
afgehandelt	afgehandeld
afgehardt	afgehard
afgekeurdt	afgekeurd
afgekeurt	afgekeurd
afgekoelt	afgekoeld
afgekondigt	afgekondigd
afgekoppelt	afgekoppeld
afgelastert	
afgelegdt	afgelegd
afgelegt	afgelegd
afgeleidt	afgeleid
afgeleit	afgeleid
afgeleverdt	afgeleverd
afgelevert	afgeleverd
afgelopend	afgelopen
afgelopende	afgelopen;aflopende
afgemeldt	afgemeld
afgeplatten	afgeplatte
afgereist	afgereisd
afgerekent	afgerekend
afgeremt	afgeremd
afgerondt	afgerond
afgeschafd	afgeschaft
afgeschermt	afgeschermd
afgescheurdt	afgescheurd
afgescheurt	afgescheurd
afgeschildert	afgeschilderd
afgesloofdt	afgesloofd
afgespeelt	afgespeeld
afgespoelt	afgespoeld
afgesteldt	afgesteld
afgestelt	afgesteld
afgestemt	afgestemd
afgestrafd	afgestraft
afgestudeert	afgestudeerd
afgetekent	afgetekend
afgevaardigdt	afgevaardigd
afgevert	
afgevoert	afgevoerd
afgevraagt	afgevraagd
afgevrozen	afgevroren
afgevuurt	afgevuurd
afgewendt	afgewend
afgewerkd	afgewerkt
afgewisselt	afgewisseld
afgezaagt	afgezaagd
afgezegdt	afgezegd
afgezegt	afgezegd
afgezondert	afgezonderd
afgietert	
afglijdert	
afglippert	
afgluurdert	
afgolvert	
afgooiert	
afgravert	
afgrazert	
afgrendelert	
afgrenzert	
afgrissert	
afhad	af had
afhadden	af hadden
afhakert	
afhakkert	
afhalert	
afhameerdert	
afhandelert	
afhangert	
afhappert	
afhardert	
afharkert	
afhaspelert	
afhechtert	
afheffert	
afhellert	
afhelpert	
afhollert	
afhoordert	
afhoudert	
afhouwert	
afhuurdert	
afjagert	
afjakkeerdert	
afkaatsert	
afkabbelert	
afkalkert	
afkalvert	
afkammert	
afkantert	
afkapert	
afkappert	
afkattert	
afkeerdert	
afkervert	
afketsert	
afkeuurdert	
afkickert	
afkijkert	
afklappert	
afkledert	
afklemmert	
afkletsert	
afklimmert	
afklinkert	
afkloppert	
afkluivert	
afknabbelert	
afknagert	
afknappert	
afknauwert	
afknellert	
afknevelert	
afknibbelert	
afknijpert	
afknippert	
afknopert	
afknottert	
afknuppelert	
afknutselert	
afkoelert	
afkoersert	
afkokert	
afkolvert	
afkomert	
afkondigert	
afkopert	
afkoppelert	
afkortert	
afkrabbelert	
afkrabbert	
afkrakert	
afkrijgert	
afkruimelert	
afkruipert	
afkuieerdert	
afkuisert	
afkukelert	
afkunnert	
afkussert	
aflachert	
afladert	
aflakkert	
aflangert	
aflappert	
aflatert	
aflebbeerdert	
afleerdert	
afleggert	
afleidert	
afleidingsmanoevre	afleidingsmanoeuvre
afleidingsmanouvre	afleidingsmanoeuvre
afleveerdert	
aflezert	
afliegert	
afliggert	
aflijnert	
aflikkert	
afloeerdert	
aflogert	
aflopert	
aflossert	
afluisteerdert	
afluizert	
afmaaiert	
afmakert	
afmalert	
afmarcheerdert	
afmartelert	
afmattert	
afmeerdert	
afmeldert	
afmelkert	
afmetert	
afmijnert	
afmonsteerdert	
afmonteerdert	
afnaaiert	
afnemert	
afneuzert	
afnijpert	
afnokkert	
afnummeerdert	
afpakkert	
afpalert	
afpassert	
afpeddelert	
afpeigeerdert	
afpeilert	
afpelert	
afpellert	
afpennert	
afperkert	
afpersert	
afpeuteerdert	
afpeuzelert	
afpijnigert	
afpikkert	
afpingelert	
afpitsert	
afplaggert	
afplakkert	
afplattert	
afplettert	
afploegert	
afpluizert	
afplukkert	
afpoeieerdert	
afpoetsert	
afpompert	
afpratert	
afprekert	
afprijzert	
afprikkert	
afpulkert	
afpuntert	
afradert	
afrafelert	
afraffelert	
afrakert	
aframmelert	
afranselert	
afrapert	
afraspert	
afrasteerdert	
afratelert	
afrazert	
afreageerdert	
afrees	afreisde
afregelert	
afregenert	
afreizert	
afrekenert	
afremmert	
afrennert	
afrepelert	
Africa's	Afrika's
africhtert	
afrijdert	
afrijgert	
afrijzert	
afrikaniseerdert	
afrissert	
afristert	
afritsert	
afroeiert	
afroepert	
afroffelert	
afrollert	
afromert	
afrondert	
afronselert	
afrossert	
afrottert	
afrovert	
afruilert	
afruimert	
afruisert	
afrukkert	
afsabbeerdert	
afsabbelert	
afschaduwert	
afschaffert	
afschakelert	
afschalert	
afschampert	
afschattert	
afschavert	
afscheerdert	
afscheidert	
afscheidskado	afscheidscadeau
afscheidstoernee	afscheidstournee
afschenkert	
afschepert	
afscheppert	
afschermert	
afschetsert	
afscheuurdert	
afschietert	
afschijnert	
afschildeerdert	
afschilfeerdert	
afschillert	
afschitteerdert	
afschminkert	
afschoffelert	
afschooiert	
afschoppert	
afschrabbert	
afschrapert	
afschrappert	
afschreeuwert	
afschrijvert	
afschrikkert	
afschrobbert	
afschroeiert	
afschroevert	
afschubbert	
afschuddert	
afschuieerdert	
afschuimert	
afschuinert	
afschuivert	
afschuttert	
afschuurdert	
afschuwlijk	afschuwelijk
afschuwlijke	afschuwelijk
afseinert	
afserveerdert	
afsijpelert	
afsjouwert	
afslaart	
afslachtert	
afslankert	
afslenteerdert	
afslepert	
afsleuurdert	
afslibbert	
afslijpert	
afslijtert	
afslingeerdert	
afsloffert	
afslopert	
afslorpert	
afslotert	
afslovert	
afsluipert	
afsluitert	
afslurpert	
afsmeerdert	
afsmekert	
afsmeltert	
afsmijtert	
afsnauwert	
afsnellert	
afsnijdert	
afsnoeerdert	
afsnoeiert	
afsnoepert	
afsnordert	
afsnuffelert	
afsoppert	
afspanert	
afspannert	
afspatieerdert	
afspattert	
afspeldert	
afspelert	
afspeuurdert	
afspiedert	
afspiegelert	
afspinnert	
afspittert	
afsplijtert	
afsplinteerdert	
afsplitsert	
afspoelert	
afsponsert	
afsponzert	
afspoordert	
afsprekert	
afspringert	
afspuitert	
afstammert	
afstampert	
afstandsvervoer	langeafstandsvervoer
afstappert	
afstekert	
afstekkert	
afstellert	
afstemmert	
afstempelert	
afstervert	
afstevenert	
afstijgert	
afstikkert	
afstippert	
afstoffert	
afstokert	
afstomert	
afstommelert	
afstompert	
afstoppert	
afstormert	
afstortert	
afstotert	
afstraffert	
afstralert	
afstrepert	
afstrijdert	
afstrijkert	
afstrippert	
afstromert	
afstrompelert	
afstropert	
afstruinert	
afstudeerdert	
afstuitert	
afstuivert	
afstuwert	
aftaaiert	
aftakelert	
aftakkert	
aftappert	
aftastert	
afteerdert	
aftekenert	
aftellert	
aftikkert	
aftillert	
aftimmeerdert	
aftippert	
aftobbert	
aftomert	
aftoppert	
aftornert	
aftrainert	
aftrappert	
aftredert	
aftrekkert	
aftroevert	
aftroggelert	
aftrommelert	
aftuigert	
aftuimelert	
afturvert	
aftuurdert	
aftypert	
afvaardert	
afvaardigert	
afvagert	
afvallert	
afvangert	
afvechtert	
afvegert	
afvellert	
afvergert	
afververt	
afvezelert	
afvijlert	
afvijzert	
afvillert	
afvinkert	
afvissert	
afvlaggert	
afvlakkert	
afvliegert	
afvloeiert	
afvoeerdert	
afvoegert	
afvordeerdert	
afvormert	
afvragert	
afvretert	
afvriezert	
afvrijert	
afvullert	
afvuurdert	
afwaaiert	
afwaardeerdert	
afwachtert	
afwaggelert	
afwandelert	
afwassert	
afwateerdert	
afweerdert	
afweet	af weet
afwegert	
afweidert	
afwekert	
afwendert	
afwennert	
afwentelert	
afwerkert	
afwerpert	
afwijkert	
afwijzert	
afwikkelert	
afwil	af wil
afwimpelert	
afwindert	
afwinnert	
afwippert	
afwisselert	
afwissert	
afwonert	
afwrijvert	
afwringert	
afzabbeerdert	
afzabbelert	
afzadelert	
afzagert	
afzakkert	
afzegenert	
afzeggert	
afzeikert	
afzeilert	
afzemert	
afzendert	
afzepert	
afzettert	
afzeulert	
afzevert	
afziert	
afzinkert	
afzittert	
afzoekert	
afzoenert	
afzomert	
afzondeerdert	
afzuigert	
afzuipert	
afzwaaiert	
afzwakkert	
afzweerdert	
afzwemmert	
afzwenkert	
afzwepert	
afzwervert	
afzwevert	
afzwieerdert	
afzwoegert	
-age	
ageerdert	
agendeerdert	
agglutineerdert	
aggregeerdert	
agiteerdert	
agoravobie	agorafobie
agrarier	agrariër
agrariers	agrariërs
agregaat	aggregaat
agro-industriele	agro-industriële
ahaerlebnis	aha-erlebnis
aïda	Aïda
aids-afdeling	aidsafdeling
aids-besmetting	aidsbesmetting
aidspatient	aidspatiënt
aids-patiënt	aidspatiënt
aidspatienten	aidspatiënten
aids-remmer	aidsremmer
aids-slachtoffer	aidsslachtoffer
aids-test	aidstest
aids-tijdperk	aidstijdperk
aids-vaccin	aidsvaccin
aids-virus	aidsvirus
aikidoend	aikidoënd
aikidoexamen	aikido-examen
aikidoexamens	aikido-examens
aikidoverenging	aikidovereniging
aikidoverengingen	aikidoverenigingen
aio-stelsel	aiostelsel
air bag	airbag
air-conditioning	airconditioning
aircotje	aircootje
Airship	Luchtschip
ajacied	Ajacied
ajacieden	Ajacieden
Ajax'	Ajaxs
a.j.b.	ajb.
ajb	ajb.
ajurveda	ayurveda
akkeerdert	
akkordeerde	accordeerde
akkordeert	accordeert
akkorderen	accorderen
akku	accu
akoord	akkoord
akordeerde	accordeerde
akordeert	accordeert
akount	account
akribisch	acribisch
akrobaat	acrobaat
akrobatie	acrobatie
aktentas	aktetas
aktie	actie
aktief	actief
akties	acties
aktieve	actieve
aktiviteit	activiteit
aktiviteiten	activiteiten
akwisitie	acquisitie
alarmeerdert	
alcoholiseerdert	
Aldi	ALDI
alfabetiseerdert	
algorithm	algoritme
algorithme	algoritme
algorithmen	algoritmen
algorithmes	algoritmes
algorithms	algoritmes;algoritmen
aliëneerdert	
aligneerdert	
alkaliseerdert	
allem	alle;allen
allerei	allerlei
allert	alert
àlles	álles
allieerdert	
allitereerdert	
allittereerdert	
alloceerdert	
all-round	allround
all-rounder	allrounder
allroundschaatsert	allroundschaatser
alludeerdert	
alluminium	aluminium
alluminiumfolie	aluminiumfolie
A-lokatie	A-locatie
alover	al over
àls	áls
altereerdert	
alterneerdert	
àltijd	áltijd
altijdgroenend	altijdgroen
amalgameerdert	
Amazonebek	Amazonebekken
ambachtschool	ambachtsschool
ambieerdert	
ambt.	ambtelijk
ambtenarencorps	ambtenarenkorps
ambulanc	ambulance
amendeerdert	
amer	Amer;amper
american football	American football
America's	Amerika's
amerikaniseerdert	
amortiseerdert	
